"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2337","[AQAPRACT-562] Edit the ""Last name"" with 1 character length","chromium","Fri Oct 03 07:06:35 UTC 2025","passed","Fri Oct 03 07:06:37 UTC 2025","Edit Profile ""Lastname""","userProfile/lastnameEdit.spec.ts","",""
"","2064","[AQAPRACT-527] Register with max Password length (20 characters)","chromium","Fri Oct 03 07:05:45 UTC 2025","passed","Fri Oct 03 07:05:47 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","1968","[AQAPRACT-745] Month navigators switch months","chromium","Fri Oct 03 07:04:53 UTC 2025","passed","Fri Oct 03 07:04:55 UTC 2025","Calendar Suite","registration/calendar.spec.ts","",""
"","2486","[AQAPRACT-568] The date is filled in manually in the ""Date of birth"" field","chromium","Fri Oct 03 07:06:04 UTC 2025","passed","Fri Oct 03 07:06:06 UTC 2025","Edit Date of Birth Suite","userProfile/dateOfBirthEdit.spec.ts","",""
"","1665","AQAPRACT-510 Register with min First name length (1 character)","chromium","Fri Oct 03 07:05:02 UTC 2025","passed","Fri Oct 03 07:05:04 UTC 2025","First name Suite","registration/firstname.spec.ts","",""
"","2428","[AQAPRACT-549] Edit 'First name' on User profile flyout","chromium","Fri Oct 03 07:07:07 UTC 2025","passed","Fri Oct 03 07:07:10 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","2059","[AQAPRACT-548] ""Edit personal information"" flyout available","chromium","Fri Oct 03 07:07:05 UTC 2025","passed","Fri Oct 03 07:07:07 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","2307","[AQAPRACT-751] Upload user photo","chromium","Fri Oct 03 07:06:55 UTC 2025","passed","Fri Oct 03 07:06:57 UTC 2025","Edit Profile ""First name""","userProfile/uploadPhoto.spec.ts","",""
"","1330","[AQAPRACT-749] Month is possible to be selected","chromium","Fri Oct 03 07:04:56 UTC 2025","passed","Fri Oct 03 07:04:57 UTC 2025","Calendar Suite","registration/calendar.spec.ts","",""
"","1766","[AQAPRACT-520] The elements on the calendar picker are available","chromium","Fri Oct 03 07:04:56 UTC 2025","passed","Fri Oct 03 07:04:58 UTC 2025","Date of Birth Suite","registration/dateOfBirth.spec.ts","",""
